requirement_id,owning_context,consumer_contexts,linked_epics,status
REQ-ACC-001,BC-002,BC-002,EPIC-009/EPIC-010,PASS
REQ-AI-001,BC-009,BC-009,EPIC-050,PASS
REQ-AI-005,BC-013,BC-013/BC-009,EPIC-026/EPIC-050,PASS
REQ-AI-006,BC-015,BC-015,EPIC-080,PASS
REQ-AI-007,BC-001,BC-001,EPIC-006,PASS
REQ-AI-008,BC-004,BC-004/BC-009,EPIC-029/EPIC-050,PASS
REQ-AI-009,BC-013,BC-013/BC-009,EPIC-049/EPIC-050,PASS
REQ-AI-010,BC-005,BC-005/BC-004,EPIC-022/EPIC-029,PASS
REQ-AI-011,BC-004,BC-004/BC-016,EPIC-029/EPIC-033,PASS
REQ-AI-012,BC-007,BC-007/BC-009,EPIC-028/EPIC-050,PASS
REQ-AI-013,BC-009,BC-009,EPIC-050,PASS
REQ-AI-014,BC-004,BC-004,EPIC-029,PASS
REQ-AI-015,BC-009,BC-009/BC-015,EPIC-050/EPIC-080,PASS
REQ-AI-016,BC-016,BC-016,EPIC-036/EPIC-084,PASS
REQ-AI-017,BC-013,BC-013/BC-009,EPIC-046/EPIC-050,PASS
REQ-AIE-001,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-002,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-003,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-004,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-005,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-006,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-007,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-008,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-009,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-AIE-010,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,PASS
REQ-ANC-001,BC-005,BC-005/BC-008,EPIC-058/EPIC-099,PASS
REQ-ANC-002,BC-007,BC-007/BC-008,EPIC-024/EPIC-099,PASS
REQ-ANC-003,BC-007,BC-007/BC-008,EPIC-024/EPIC-099,PASS
REQ-ANC-004,BC-013,BC-013/BC-008,EPIC-046/EPIC-099,PASS
REQ-ANC-005,BC-016,BC-016/BC-008,EPIC-032/EPIC-100,PASS
REQ-ANC-006,BC-007,BC-007/BC-008,EPIC-024/EPIC-100,PASS
REQ-ANC-007,BC-007,BC-007/BC-008,EPIC-024/EPIC-100,PASS
REQ-ANC-008,BC-010,BC-010/BC-008,EPIC-066/EPIC-100,PASS
