api_id,api_name,domain,bounded_context,bounded_context_name,method,path,operation_id,success_status,permission,idempotency,request_schema,response_schema,resource_schema,contract_status,contract_file,bounded_context,bounded_context_name
API-001,Identidade e sessões,PLT,BC-002,Identidade e Controle de Acesso,POST,/auth/bootstrap,post_auth_bootstrap,202,instance:bootstrap,Obrigatória,PostAuthBootstrapRequest,PostAuthBootstrapResponse,BootstrapStatus,FROZEN,contracts/http/operations/post_auth_bootstrap.md,BC-002,Identidade e Controle de Acesso
API-001,Identidade e sessões,PLT,BC-002,Identidade e Controle de Acesso,POST,/auth/session,post_auth_session,202,session:create,Obrigatória,PostAuthSessionRequest,PostAuthSessionResponse,Session,FROZEN,contracts/http/operations/post_auth_session.md,BC-002,Identidade e Controle de Acesso
API-001,Identidade e sessões,PLT,BC-002,Identidade e Controle de Acesso,DELETE,/auth/session,delete_auth_session,204,session:revoke,Obrigatória,,,Session,FROZEN,contracts/http/operations/delete_auth_session.md,BC-002,Identidade e Controle de Acesso
API-001,Identidade e sessões,PLT,BC-002,Identidade e Controle de Acesso,POST,/auth/tokens,post_auth_tokens,201,token:create,Obrigatória,PostAuthTokensRequest,PostAuthTokensResponse,PersonalAccessToken,FROZEN,contracts/http/operations/post_auth_tokens.md,BC-002,Identidade e Controle de Acesso
API-001,Identidade e sessões,PLT,BC-002,Identidade e Controle de Acesso,GET,/auth/oidc/callback,get_auth_oidc_callback,200,oidc:callback,Não aplicável,,GetAuthOidcCallbackResponse,OidcCallbackResult,FROZEN,contracts/http/operations/get_auth_oidc_callback.md,BC-002,Identidade e Controle de Acesso
API-002,"Projetos, usuários e autorização",PLT,BC-003,"Projetos, Workspace e Assets",GET,/projects,get_projects,200,project:list,Obrigatória,,GetProjectsResponse,Project,FROZEN,contracts/http/operations/get_projects.md,BC-003,"Projetos, Workspace e Assets"
API-002,"Projetos, usuários e autorização",PLT,BC-003,"Projetos, Workspace e Assets",POST,/projects,post_projects,201,project:create,Obrigatória,PostProjectsRequest,PostProjectsResponse,Project,FROZEN,contracts/http/operations/post_projects.md,BC-003,"Projetos, Workspace e Assets"
API-002,"Projetos, usuários e autorização",PLT,BC-003,"Projetos, Workspace e Assets",GET,/projects/{projectId},get_projects_projectid,200,project:read,Obrigatória,,GetProjectsProjectidResponse,Project,FROZEN,contracts/http/operations/get_projects_projectid.md,BC-003,"Projetos, Workspace e Assets"
API-002,"Projetos, usuários e autorização",PLT,BC-003,"Projetos, Workspace e Assets",PATCH,/projects/{projectId},patch_projects_projectid,200,project:update,Obrigatória,PatchProjectsProjectidRequest,PatchProjectsProjectidResponse,Project,FROZEN,contracts/http/operations/patch_projects_projectid.md,BC-003,"Projetos, Workspace e Assets"
API-002,"Projetos, usuários e autorização",PLT,BC-002,Identidade e Controle de Acesso,GET,/projects/{projectId}/members,get_projects_projectid_members,200,project_member:list,Obrigatória,,GetProjectsProjectidMembersResponse,ProjectMember,FROZEN,contracts/http/operations/get_projects_projectid_members.md,BC-002,Identidade e Controle de Acesso
API-002,"Projetos, usuários e autorização",PLT,BC-002,Identidade e Controle de Acesso,POST,/projects/{projectId}/members,post_projects_projectid_members,201,project_member:create,Obrigatória,PostProjectsProjectidMembersRequest,PostProjectsProjectidMembersResponse,ProjectMember,FROZEN,contracts/http/operations/post_projects_projectid_members.md,BC-002,Identidade e Controle de Acesso
API-002,"Projetos, usuários e autorização",PLT,BC-002,Identidade e Controle de Acesso,GET,/authorization/check,get_authorization_check,200,authorization:check,Não aplicável,,GetAuthorizationCheckResponse,AuthorizationDecision,FROZEN,contracts/http/operations/get_authorization_check.md,BC-002,Identidade e Controle de Acesso
API-003,"Workspace, roots e assets",DAT,BC-003,"Projetos, Workspace e Assets",GET,/workspace/roots,get_workspace_roots,200,workspace_root:list,Não aplicável,,GetWorkspaceRootsResponse,WorkspaceRoot,FROZEN,contracts/http/operations/get_workspace_roots.md,BC-003,"Projetos, Workspace e Assets"
API-003,"Workspace, roots e assets",DAT,BC-003,"Projetos, Workspace e Assets",GET,/workspace/entries,get_workspace_entries,200,workspace_entry:list,Não aplicável,,GetWorkspaceEntriesResponse,WorkspaceEntry,FROZEN,contracts/http/operations/get_workspace_entries.md,BC-003,"Projetos, Workspace e Assets"
API-003,"Workspace, roots e assets",DAT,BC-003,"Projetos, Workspace e Assets",POST,/projects/{projectId}/assets,post_projects_projectid_assets,201,asset:create,Obrigatória,PostProjectsProjectidAssetsRequest,PostProjectsProjectidAssetsResponse,Asset,FROZEN,contracts/http/operations/post_projects_projectid_assets.md,BC-003,"Projetos, Workspace e Assets"
API-003,"Workspace, roots e assets",DAT,BC-003,"Projetos, Workspace e Assets",GET,/assets/{assetId},get_assets_assetid,200,asset:read,Não aplicável,,GetAssetsAssetidResponse,Asset,FROZEN,contracts/http/operations/get_assets_assetid.md,BC-003,"Projetos, Workspace e Assets"
API-004,ProcessingPlan e capabilities,GEO,BC-003,"Projetos, Workspace e Assets",POST,/projects/{projectId}/processing-plans,post_projects_projectid_processing_plans,201,processing_plan:create,Obrigatória,PostProjectsProjectidProcessingPlansRequest,PostProjectsProjectidProcessingPlansResponse,ProcessingPlan,FROZEN,contracts/http/operations/post_projects_projectid_processing_plans.md,BC-003,"Projetos, Workspace e Assets"
API-004,ProcessingPlan e capabilities,GEO,BC-004,Plano de Processamento e Workflow,GET,/processing-plans/{planId},get_processing_plans_planid,200,processing_plan:read,Não aplicável,,GetProcessingPlansPlanidResponse,ProcessingPlan,FROZEN,contracts/http/operations/get_processing_plans_planid.md,BC-004,Plano de Processamento e Workflow
API-004,ProcessingPlan e capabilities,GEO,BC-004,Plano de Processamento e Workflow,GET,/capabilities,get_capabilities,200,capability:list,Não aplicável,,GetCapabilitiesResponse,Capability,FROZEN,contracts/http/operations/get_capabilities.md,BC-004,Plano de Processamento e Workflow
API-004,ProcessingPlan e capabilities,GEO,BC-004,Plano de Processamento e Workflow,POST,/processing-plans/{planId}/preview,post_processing_plans_planid_preview,202,processing_plan:preview,Obrigatória,PostProcessingPlansPlanidPreviewRequest,PostProcessingPlansPlanidPreviewResponse,PlanPreview,FROZEN,contracts/http/operations/post_processing_plans_planid_preview.md,BC-004,Plano de Processamento e Workflow
API-005,"Jobs, attempts e progresso",JOB,BC-003,"Projetos, Workspace e Assets",POST,/projects/{projectId}/jobs,post_projects_projectid_jobs,201,job:create,Obrigatória,PostProjectsProjectidJobsRequest,PostProjectsProjectidJobsResponse,Job,FROZEN,contracts/http/operations/post_projects_projectid_jobs.md,BC-003,"Projetos, Workspace e Assets"
API-005,"Jobs, attempts e progresso",JOB,BC-010,Orquestração de Jobs e Recursos,GET,/jobs/{jobId},get_jobs_jobid,200,job:read,Não aplicável,,GetJobsJobidResponse,Job,FROZEN,contracts/http/operations/get_jobs_jobid.md,BC-010,Orquestração de Jobs e Recursos
API-005,"Jobs, attempts e progresso",JOB,BC-010,Orquestração de Jobs e Recursos,POST,/jobs/{jobId}/cancel,post_jobs_jobid_cancel,202,job:cancel,Obrigatória,PostJobsJobidCancelRequest,PostJobsJobidCancelResponse,AcceptedOperation,FROZEN,contracts/http/operations/post_jobs_jobid_cancel.md,BC-010,Orquestração de Jobs e Recursos
API-005,"Jobs, attempts e progresso",JOB,BC-010,Orquestração de Jobs e Recursos,GET,/jobs/{jobId}/events,get_jobs_jobid_events,200,job_event:list,Não aplicável,,GetJobsJobidEventsResponse,JobEvent,FROZEN,contracts/http/operations/get_jobs_jobid_events.md,BC-010,Orquestração de Jobs e Recursos
API-005,"Jobs, attempts e progresso",JOB,BC-012,"Resultados, Diagnósticos e Exportação",GET,/jobs/{jobId}/results,get_jobs_jobid_results,200,result:list,Não aplicável,,GetJobsJobidResultsResponse,ResultSummary,FROZEN,contracts/http/operations/get_jobs_jobid_results.md,BC-012,"Resultados, Diagnósticos e Exportação"
API-006,"Qualidade, SGV e diagnósticos",GEO,BC-007,Verificação Geométrica e Qualidade,GET,/attempts/{attemptId}/quality,get_attempts_attemptid_quality,200,quality:read,Não aplicável,,GetAttemptsAttemptidQualityResponse,QualityReport,FROZEN,contracts/http/operations/get_attempts_attemptid_quality.md,BC-007,Verificação Geométrica e Qualidade
API-006,"Qualidade, SGV e diagnósticos",GEO,BC-007,Verificação Geométrica e Qualidade,GET,/attempts/{attemptId}/sgv,get_attempts_attemptid_sgv,200,sgv:read,Não aplicável,,GetAttemptsAttemptidSgvResponse,SgvVerdict,FROZEN,contracts/http/operations/get_attempts_attemptid_sgv.md,BC-007,Verificação Geométrica e Qualidade
API-006,"Qualidade, SGV e diagnósticos",GEO,BC-007,Verificação Geométrica e Qualidade,GET,/attempts/{attemptId}/deformation,get_attempts_attemptid_deformation,200,deformation:read,Não aplicável,,GetAttemptsAttemptidDeformationResponse,DeformationReport,FROZEN,contracts/http/operations/get_attempts_attemptid_deformation.md,BC-007,Verificação Geométrica e Qualidade
API-006,"Qualidade, SGV e diagnósticos",GEO,BC-012,"Resultados, Diagnósticos e Exportação",GET,/attempts/{attemptId}/diagnostics,get_attempts_attemptid_diagnostics,200,diagnostic:read,Não aplicável,,GetAttemptsAttemptidDiagnosticsResponse,FailureDiagnostic,FROZEN,contracts/http/operations/get_attempts_attemptid_diagnostics.md,BC-012,"Resultados, Diagnósticos e Exportação"
