contract,owner_context,contract_type,status,shared_model
contracts/README.md,BC-013,README.md,VERSIONED,NO
contracts/ai/README.md,BC-009,ai,VERSIONED,NO
contracts/ai/ai-backend-manifest.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/ai-backend-protocol.yaml,BC-009,ai,VERSIONED,NO
contracts/ai/backend-validation-result.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/capability-request.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/examples/capability-request.json,BC-009,ai,VERSIONED,NO
contracts/ai/execution-estimate.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/execution-request.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/publication-result.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/raw-ai-result.schema.json,BC-009,ai,VERSIONED,NO
contracts/ai/support-decision.schema.json,BC-009,ai,VERSIONED,NO
contracts/architecture/python-module-boundaries.yaml,BC-013,architecture,VERSIONED,NO
contracts/architecture/write-scope-catalog.yaml,BC-013,architecture,VERSIONED,NO
contracts/artifacts/README.md,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/artifact-descriptor.schema.json,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/artifact-kind-registry.yaml,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/artifact-publication-record.schema.json,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/artifact-set-manifest.schema.json,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/artifact-validation-profile.schema.json,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/compatibility/artifact-set-manifest-1.0.0.schema.json,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/examples/artifact-descriptor-cog.json,BC-013,artifacts,VERSIONED,NO
contracts/artifacts/examples/artifact-set-manifest-2.0.0.json,BC-013,artifacts,VERSIONED,NO
contracts/assurance/README.md,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/README.md,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/approval-attestation.schema.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/role-binding.schema.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/test-vectors/conformance-suite.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/trust-anchor-set.schema.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/trust-profile.schema.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/trust/anchors/dsgeorref-daa-operational-roots-1.0.0.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/trust/manifest.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/trust/profiles/dsgeorref-daa-operational-1.0.0.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/delivery-approval-authority/verification-verdict.schema.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/phase-f-issue-review.schema.json,BC-001,assurance,VERSIONED,NO
contracts/assurance/phase-g-cto-review.schema.json,BC-001,assurance,VERSIONED,NO
contracts/contexts/README.md,BC-013,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/contract-manifest.yaml,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/examples/foundation-boundaries.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/examples/issue-forecast.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/examples/portfolio-snapshot.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/foundation-boundaries.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/issue-forecast.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/governanca-de-decisoes-arquiteturais-e-manutencao-da-b/portfolio-snapshot.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/monorepo-greenfield-com-cli-api-web-minimos-e-checks-r/contract-manifest.yaml,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/monorepo-greenfield-com-cli-api-web-minimos-e-checks-r/examples/monorepo-foundation.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/monorepo-greenfield-com-cli-api-web-minimos-e-checks-r/monorepo-foundation.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/classicprofile-iss-native-parte-1/contract-manifest.yaml,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/classicprofile-iss-native-parte-1/examples/foundation-conformance.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/classicprofile-iss-native-parte-1/foundation-conformance.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/consolidacao/contract-manifest.yaml,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/consolidacao/examples/slice-consolidation.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/consolidacao/slice-consolidation.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/worker-parte-2/contract-manifest.yaml,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/worker-parte-2/examples/worker-governance-conformance.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/repositorio-privado-project-central-views-campos-label/worker-parte-2/worker-governance-conformance.schema.json,BC-001,contexts,VERSIONED,NO
contracts/contexts/engineering_governance/fnd/openapi-cliente-typescript-e-contratos-cli-jobs-evento/consolidacao/contract-manifest.yaml,BC-001,contexts,VERSIONED,NO
