task_id,story_id,issue_id,sprint_id,bounded_context,specifications,status
TASK-0001,STORY-0001,ISSUE-0111,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0002,STORY-0002,ISSUE-0112,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0003,STORY-0003,ISSUE-0113,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0004,STORY-0004,ISSUE-0114,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0005,STORY-0005,ISSUE-0115,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0006,STORY-0006,ISSUE-0116,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0007,STORY-0007,ISSUE-0117,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0008,STORY-0008,ISSUE-0118,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0009,STORY-0009,ISSUE-0119,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0010,STORY-0010,ISSUE-0120,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0011,STORY-0011,ISSUE-0121,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0012,STORY-0012,ISSUE-0122,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0013,STORY-0013,ISSUE-0123,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0014,STORY-0014,ISSUE-0124,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0015,STORY-0015,ISSUE-0125,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0016,STORY-0016,ISSUE-0126,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0017,STORY-0017,ISSUE-0127,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0018,STORY-0018,ISSUE-0128,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0019,STORY-0019,ISSUE-0129,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0020,STORY-0020,ISSUE-0130,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0021,STORY-0021,ISSUE-0131,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0022,STORY-0022,ISSUE-0132,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0023,STORY-0023,ISSUE-0133,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0024,STORY-0024,ISSUE-0134,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0025,STORY-0025,ISSUE-0135,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0026,STORY-0026,ISSUE-0136,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0027,STORY-0027,ISSUE-0137,SPRINT-001,BC-001,SPEC-001/SPEC-003/SPEC-004,PASS
TASK-0028,STORY-0028,ISSUE-0138,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0029,STORY-0029,ISSUE-0139,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0030,STORY-0030,ISSUE-0140,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0031,STORY-0031,ISSUE-0141,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0032,STORY-0032,ISSUE-0142,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0033,STORY-0033,ISSUE-0143,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0034,STORY-0034,ISSUE-0144,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
TASK-0035,STORY-0035,ISSUE-0145,SPRINT-001,BC-001,SPEC-001/SPEC-004,PASS
