sprint_id,issue_id,issue_type,story_id,epic_id,criteria_count,requirement_basis,requirements,governing_adrs,conflicts,redundancies,missing,impossible,cycles,status
SPRINT-001,ISSUE-0001,EPIC_ENVELOPE,,EPIC-001,6,MIXED,REQ-FRZ-001/REQ-FRZ-004/REQ-GOV-ADR-002/REQ-GOV-ADR-003/REQ-GOV-ADR-018/REQ-GOV-DEC-001/REQ-GOV-DEC-002/REQ-ISM-004/REQ-ISM-010/REQ-ISS-002/REQ-SPRINT-001-001/REQ-SPRINT-001-002/REQ-SPRINT-001-003/REQ-SPRINT-001-004/REQ-SPRINT-001-005/REQ-SPRINT-001-006/REQ-SPRINT-001-007/REQ-SPRINT-001-008/REQ-SPRINT-001-009/REQ-SPRINT-001-010/REQ-TOOL-001/REQ-TOOL-002/REQ-TOOL-010,ADR-002/ADR-054/ADR-053/ADR-026/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-001,ISSUE-0002,EPIC_ENVELOPE,,EPIC-002,6,MIXED,REQ-CLASSICPROFILE-001/REQ-CLASSICPROFILE-002/REQ-CLASSICPROFILE-003/REQ-CLASSICPROFILE-004/REQ-CLASSICPROFILE-005/REQ-CLASSICPROFILE-006/REQ-CLASSICPROFILE-007/REQ-CLASSICPROFILE-008/REQ-CLASSICPROFILE-009/REQ-CLASSICPROFILE-010/REQ-GOV-001/REQ-GOV-002/REQ-GOV-003/REQ-GOV-ADR-002/REQ-GOV-ADR-003/REQ-GOV-ADR-018/REQ-ISM-001/REQ-ISM-006/REQ-ISM-008/REQ-ISS-001/REQ-ISS-004/REQ-ISS-006/REQ-ISS-007/REQ-ISS-009/REQ-NATIVE-001/REQ-NATIVE-002/REQ-NATIVE-003/REQ-NATIVE-004/REQ-NATIVE-005/REQ-NATIVE-006/REQ-NATIVE-007/REQ-NATIVE-008/REQ-NATIVE-009/REQ-NATIVE-010/REQ-PLN-001/REQ-PLN-002/REQ-PLN-003/REQ-PLN-004/REQ-PLN-005/REQ-PLN-006/REQ-PLN-007/REQ-PLN-008/REQ-PLN-009/REQ-PLN-010/REQ-PRJ-001/REQ-PRJ-002/REQ-PRJ-003/REQ-PRJ-004/REQ-PRJ-005/REQ-PRJ-006/REQ-PRJ-007/REQ-PRJ-008/REQ-PRJ-009/REQ-PRJ-010/REQ-PRM-001/REQ-PRM-002/REQ-PRM-003/REQ-PRM-004/REQ-PRM-005/REQ-PRM-006/REQ-PRM-007/REQ-PRM-008/REQ-PRM-009/REQ-PRM-010/REQ-RUN-001/REQ-RUN-002/REQ-RUN-003/REQ-RUN-004/REQ-RUN-005/REQ-RUN-006/REQ-RUN-007/REQ-RUN-008/REQ-RUN-009/REQ-RUN-010/REQ-RUNTIME-001/REQ-RUNTIME-002/REQ-SPRINT-001-001/REQ-SPRINT-001-002/REQ-SPRINT-001-003/REQ-SPRINT-001-004/REQ-SPRINT-001-005/REQ-SPRINT-001-006/REQ-SPRINT-001-007/REQ-SPRINT-001-008/REQ-SPRINT-001-009/REQ-SPRINT-001-010/REQ-TOOL-001/REQ-TOOL-002/REQ-TOOL-005/REQ-WORKER-001/REQ-WORKER-002/REQ-WORKER-003/REQ-WORKER-004/REQ-WORKER-005/REQ-WORKER-006/REQ-WORKER-007/REQ-WORKER-008/REQ-WORKER-009/REQ-WORKER-010,ADR-002/ADR-044/ADR-041/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-001,ISSUE-0003,EPIC_ENVELOPE,,EPIC-003,6,MIXED,REQ-DEL-001/REQ-DEV-001/REQ-TOP-001,ADR-002/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-001,ISSUE-0004,EPIC_ENVELOPE,,EPIC-004,6,MIXED,REQ-ARTLAYOUT-010/REQ-CRS-002/REQ-DBSCHEMA-002/REQ-DBSCHEMA-004/REQ-DBSCHEMA-007/REQ-DBSCHEMA-008/REQ-EPIC-031/REQ-FS1-001/REQ-FS1-002/REQ-FS1-003/REQ-FS1-004/REQ-FS1-005/REQ-FS1-006/REQ-FS1-007/REQ-FS1-008/REQ-FS1-009/REQ-FS1-010/REQ-RUN-001/REQ-RUN-002/REQ-RUN-003/REQ-RUN-004/REQ-RUN-005/REQ-RUN-006/REQ-RUN-007/REQ-RUN-008/REQ-RUN-009/REQ-RUN-010/REQ-RUNTIME-001/REQ-RUNTIME-002/REQ-RUNTIME-003/REQ-RUNTIME-004/REQ-RUNTIME-006/REQ-RUNTIME-007/REQ-RUNTIME-008/REQ-SCM-001/REQ-TOOL-003/REQ-TOOL-005/REQ-TOP-001/REQ-UPG-005/REQ-UX-002,ADR-051/ADR-002/ADR-018/ADR-034/ADR-044/ADR-041/ADR-026/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-001,ISSUE-0005,EPIC_ENVELOPE,,EPIC-005,6,MIXED,REQ-AIE-001/REQ-AIE-002/REQ-AIE-003/REQ-AIE-004/REQ-AIE-005/REQ-AIE-006/REQ-AIE-007/REQ-AIE-008/REQ-AIE-009/REQ-AIE-010/REQ-BEX-001/REQ-BEX-002/REQ-BEX-003/REQ-BEX-004/REQ-BEX-005/REQ-BEX-006/REQ-BEX-007/REQ-BEX-008/REQ-BEX-009/REQ-BEX-010/REQ-EPIC-012/REQ-EPIC-041/REQ-FRZ-002/REQ-FS1-001/REQ-FS1-002/REQ-FS1-003/REQ-FS1-004/REQ-FS1-005/REQ-FS1-006/REQ-FS1-007/REQ-FS1-008/REQ-FS1-009/REQ-FS1-010/REQ-GOV-004/REQ-INS-003/REQ-ISS-007/REQ-OBS-002/REQ-SGVCAL-001/REQ-SGVCAL-002/REQ-SGVCAL-003/REQ-SGVCAL-004/REQ-SGVCAL-005/REQ-SGVCAL-006/REQ-SGVCAL-007/REQ-SGVCAL-008/REQ-SGVCAL-009/REQ-SGVCAL-010/REQ-SRG-002/REQ-SRP-002/REQ-SUP-001/REQ-TOOL-006/REQ-TOOL-007/REQ-TOOL-009/REQ-UPG-003,ADR-034/ADR-046/ADR-039/ADR-047/ADR-054/ADR-053/ADR-026/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-001,ISSUE-0006,EPIC_ENVELOPE,,EPIC-006,6,MIXED,REQ-AI-007/REQ-TST-001,ADR-051/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-001,ISSUE-0007,EPIC_ENVELOPE,,EPIC-007,6,MIXED,REQ-CIT-001/REQ-EPIC-042/REQ-OSS-001/REQ-PUB-002,ADR-034/ADR-047/ADR-054/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-002,ISSUE-0008,EPIC_ENVELOPE,,EPIC-008,6,MIXED,REQ-AUTH-IMPL-001/REQ-AUTH-IMPL-002/REQ-AUTH-IMPL-003/REQ-AUTH-IMPL-004/REQ-AUTH-IMPL-005/REQ-AUTH-IMPL-006/REQ-AUTH-IMPL-007/REQ-AUTH-IMPL-008/REQ-AUTH-IMPL-009/REQ-AUTH-IMPL-010/REQ-DBSCHEMA-003/REQ-EPIC-076/REQ-ID-001/REQ-ID-002/REQ-INS-002,ADR-018/ADR-028/ADR-034/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-002,ISSUE-0009,EPIC_ENVELOPE,,EPIC-009,6,MIXED,REQ-ACC-001/REQ-AUTH-IMPL-001/REQ-AUTH-IMPL-002/REQ-AUTH-IMPL-003/REQ-AUTH-IMPL-004/REQ-AUTH-IMPL-005/REQ-AUTH-IMPL-006/REQ-AUTH-IMPL-007/REQ-AUTH-IMPL-008/REQ-AUTH-IMPL-009/REQ-AUTH-IMPL-010/REQ-ID-002,ADR-028/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
SPRINT-002,ISSUE-0010,EPIC_ENVELOPE,,EPIC-010,6,MIXED,REQ-ACC-001/REQ-AUTH-IMPL-001/REQ-AUTH-IMPL-002/REQ-AUTH-IMPL-003/REQ-AUTH-IMPL-004/REQ-AUTH-IMPL-005/REQ-AUTH-IMPL-006/REQ-AUTH-IMPL-007/REQ-AUTH-IMPL-008/REQ-AUTH-IMPL-009/REQ-AUTH-IMPL-010/REQ-HW-001,ADR-051/ADR-028/ADR-007/ADR-008/ADR-010,0,0,0,0,0,PASS
