sprint_id,issue_id,issue_type,story_id,task_id,epic_id,bounded_context,role,risk_tier,CTO-001,CTO-002,CTO-003,CTO-004,CTO-005,CTO-006,CTO-007,CTO-008,CTO-009,CTO-010,CTO-011,CTO-012,CTO-013,CTO-014,CTO-015,required_evidence,production_gate,status
SPRINT-001,ISSUE-0001,Epic delivery envelope,,,EPIC-001,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0002,Epic delivery envelope,,,EPIC-002,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;contracts/operations/slo-sli-catalog.yaml;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/operations/lock-and-queue-policy.yaml;contracts/operations/recovery-objectives.yaml;docs/05-operations/BACKUP_RESTORE.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;docs/05-operations/CAPACITY_AND_SCALING.md,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0003,Epic delivery envelope,,,EPIC-003,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,PASS,NOT_APPLICABLE,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0004,Epic delivery envelope,,,EPIC-004,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/recovery-objectives.yaml;docs/05-operations/BACKUP_RESTORE.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0005,Epic delivery envelope,,,EPIC-005,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/lock-and-queue-policy.yaml;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/recovery-objectives.yaml;docs/05-operations/BACKUP_RESTORE.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0006,Epic delivery envelope,,,EPIC-006,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0007,Epic delivery envelope,,,EPIC-007,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,PASS,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0086,Epic delivery envelope,,,EPIC-086,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,PASS,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/lock-and-queue-policy.yaml;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/recovery-objectives.yaml;docs/05-operations/BACKUP_RESTORE.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0090,Epic delivery envelope,,,EPIC-090,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,PASS,NOT_APPLICABLE,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
SPRINT-001,ISSUE-0091,Epic delivery envelope,,,EPIC-091,BC-001,Tech Lead,CRITICAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_APPLICABLE,PASS,NOT_APPLICABLE,NOT_APPLICABLE,PASS,PASS,PASS,PASS,PASS,contracts/operations/slo-sli-catalog.yaml;docs/05-operations/CAPACITY_AND_SCALING.md;contracts/operations/external-dependency-register.csv;contracts/operations/vendor-exit-matrix.csv;contracts/operations/cost-model.yaml;docs/05-operations/COST_AND_UNIT_ECONOMICS.md;contracts/operations/version-and-rollback-matrix.yaml;docs/03-engineering/DATABASE_MIGRATIONS.md;docs/05-operations/OBSERVABILITY.md;docs/04-quality/THREAT_MODEL.md;docs/04-quality/SECURITY_PRIVACY_LGPD.md;contracts/privacy/lgpd-control-matrix.csv;docs/04-quality/LGPD_CONTROL_MODEL.md;contracts/operations/lock-and-queue-policy.yaml,SECURITY_AND_PRIVACY_GATES,PASS
