sprint_id,gate,criterion_id,criterion_text,adr_ids,conflict,redundancy,missing_requirement,impossible,cycle,status
SPRINT-001,ENTRY,AC-SPRINT-001-ENTRY-01,Todas as issues selecionadas satisfazem a Definition of Ready.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-001,ENTRY,AC-SPRINT-001-ENTRY-02,Contratos e migrations compartilhados são serializados.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-001,ENTRY,AC-SPRINT-001-ENTRY-03,Lanes paralelas possuem file scopes disjuntos.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-001,EXIT,AC-SPRINT-001-EXIT-01,Critérios de aceitação passam para as issues concluídas.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-001,EXIT,AC-SPRINT-001-EXIT-02,Evidências de QA e Reviewer referenciam os mesmos commits candidatos.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-001,EXIT,AC-SPRINT-001-EXIT-03,Trabalho incompleto retorna ao backlog sem carryover oculto.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-001,EXIT,AC-SPRINT-001-EXIT-04,"O SprintEvidenceSet registra decisões, testes, defects e riscos não resolvidos.",ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,ENTRY,AC-SPRINT-002-ENTRY-01,Todas as issues selecionadas satisfazem a Definition of Ready.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,ENTRY,AC-SPRINT-002-ENTRY-02,Contratos e migrations compartilhados são serializados.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,ENTRY,AC-SPRINT-002-ENTRY-03,Lanes paralelas possuem file scopes disjuntos.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,EXIT,AC-SPRINT-002-EXIT-01,Critérios de aceitação passam para as issues concluídas.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,EXIT,AC-SPRINT-002-EXIT-02,Evidências de QA e Reviewer referenciam os mesmos commits candidatos.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,EXIT,AC-SPRINT-002-EXIT-03,Trabalho incompleto retorna ao backlog sem carryover oculto.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-002,EXIT,AC-SPRINT-002-EXIT-04,"O SprintEvidenceSet registra decisões, testes, defects e riscos não resolvidos.",ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-003,ENTRY,AC-SPRINT-003-ENTRY-01,Todas as issues selecionadas satisfazem a Definition of Ready.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-003,ENTRY,AC-SPRINT-003-ENTRY-02,Contratos e migrations compartilhados são serializados.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-003,ENTRY,AC-SPRINT-003-ENTRY-03,Lanes paralelas possuem file scopes disjuntos.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
SPRINT-003,EXIT,AC-SPRINT-003-EXIT-01,Critérios de aceitação passam para as issues concluídas.,ADR-007/ADR-008/ADR-010/ADR-009,NONE,NONE,NO,NO,NO,PASS
