risk_id,severity,category,risk,trigger,likelihood,impact,mitigation,contingency,owner_role,evidence_gate,residual_risk,status
RISK-G-001,Critical,Capacity,"PostgreSQL torna-se gargalo de estado, outbox, audit e scheduler","lock wait, pool saturation ou p95 crescente",MEASURED_DURING_IMPLEMENTATION,Critical,ADR-018/019/020/039; CTO-001/002,admission control; query/lock profiling; scale-up or new ADR,Tech Lead,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-002,Critical,Capacity,Filesystem esgota IOPS ou espaço temporário durante raster/mosaico,"disk queue, temp usage or publication latency",MEASURED_DURING_IMPLEMENTATION,Critical,ADR-021/023/024/039/042/049; CTO-001,"backpressure, quotas, out-of-core, capacity expansion",DevOps,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-003,High,Queue,RabbitMQ acumula backlog ou atinge watermark de disco,oldest message age and broker alarms,MEASURED_DURING_IMPLEMENTATION,High,ADR-036/037/038/039; CTO-009,"close admission, drain by class, quarantine",DevOps,G-CTO-08,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-004,Critical,Locks,"Deadlock, lease vencido ou owner antigo publica resultado","deadlock log, fencing mismatch",MEASURED_DURING_IMPLEMENTATION,Critical,ADR-019/037/039; CTO-002,"bounded retry, stale-owner rejection, incident review",Backend,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-005,High,Native processing,Estágio GDAL/OpenCV longo não alcança safe point de cancelamento,cancel terminal exceeds 120 seconds,MEASURED_DURING_IMPLEMENTATION,High,ADR-038/043/044; CTO-001/008,"chunk stage, recycle worker, quarantine attempt",Geoprocessamento,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-006,Critical,Availability,Single instance é ponto único de falha,host or storage unavailable,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-002/027/034; CTO-005/010,restore on replacement host; communicate no-HA SLO,DevOps,G-CTO-04,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-007,High,Hidden dependency,"proj-data, EPSG grids ou ABI nativa muda resultado científico",digest or CRS regression differs,MEASURED_DURING_IMPLEMENTATION,High,ADR-009/041/043/053; CTO-003,"pin data/image, regression corpus, rollback digest",Geoprocessamento,G-CTO-02,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-008,High,Hidden dependency,"Provider externo muda API, licença ou disponibilidade","contract, terms or error-rate change",MEASURED_DURING_IMPLEMENTATION,High,ADR-047/056; CTO-003/004,"disable provider, use local/manual reference, update adapter",Product Owner,G-CTO-07,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-009,High,Hidden dependency,OIDC indisponível ou linking incorreto bloqueia usuários,issuer outage or subject collision,MEASURED_DURING_IMPLEMENTATION,High,ADR-028/029/030; CTO-003,local account recovery and explicit relinking ceremony,Security,G-CTO-06,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-010,High,GPU,"Driver, runtime ou ModelPack incompatível causa falha/divergência",capability or scientific equivalence failure,MEASURED_DURING_IMPLEMENTATION,High,ADR-051/052/053; CTO-007,"disable GPU/backend, CPU/classic fallback",IA,G-CTO-03,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
RISK-G-011,Critical,Storage,Filesystem não oferece rename/fsync/locking esperados,capability probe fails,MEASURED_DURING_IMPLEMENTATION,Critical,ADR-021/024; CTO-003,fail installation; move to supported filesystem,DevOps,G-CTO-01,CONTROLLED_PENDING_EVIDENCE,ACTIVE_CONTROLLED
