requirement_id,adr_id,bounded_context,category,priority,status,rationale
REQ-ACC-001,ADR-043,BC-002,ACC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-001,ADR-017,BC-009,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-005,ADR-052,BC-013,AI,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-006,ADR-052,BC-015,AI,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-007,ADR-051,BC-001,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-008,ADR-009,BC-004,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-009,ADR-052,BC-013,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-010,ADR-009,BC-005,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-011,ADR-051,BC-004,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-012,ADR-052,BC-007,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-013,ADR-009,BC-009,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-014,ADR-009,BC-004,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-015,ADR-033,BC-009,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-016,ADR-009,BC-016,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AI-017,ADR-009,BC-013,AI,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-001,ADR-051,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-002,ADR-038,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-003,ADR-009,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-004,ADR-051,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-005,ADR-038,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-006,ADR-051,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-007,ADR-046,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-008,ADR-052,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-009,ADR-030,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AIE-010,ADR-053,BC-001,AIE,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-001,ADR-049,BC-005,ANC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-002,ADR-045,BC-007,ANC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-003,ADR-049,BC-007,ANC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-004,ADR-049,BC-013,ANC,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-005,ADR-049,BC-016,ANC,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-006,ADR-049,BC-007,ANC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-007,ADR-055,BC-007,ANC,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ANC-008,ADR-048,BC-010,ANC,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ART-001,ADR-025,BC-003,ART,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ART-002,ADR-042,BC-006,ART,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ART-003,ADR-023,BC-003,ART,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-001,ADR-009,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-002,ADR-012,BC-003,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-003,ADR-023,BC-013,ARTLAYOUT,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-004,ADR-024,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-005,ADR-024,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-006,ADR-040,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-007,ADR-023,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-008,ADR-009,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-009,ADR-023,BC-013,ARTLAYOUT,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-ARTLAYOUT-010,ADR-023,BC-001,ARTLAYOUT,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUD-001,ADR-055,BC-002,AUD,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-001,ADR-055,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-002,ADR-028,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-003,ADR-031,BC-002,AUTH,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-004,ADR-028,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-005,ADR-029,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-006,ADR-028,BC-002,AUTH,P0,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-007,ADR-031,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-008,ADR-028,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-009,ADR-055,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
REQ-AUTH-IMPL-010,ADR-031,BC-002,AUTH,P1,PASS,Owner normativo atômico selecionado pela Fase D.
