issue_id,type,status,epic_id,sprint,bounded_context,bounded_context_name,owner_role,file,governing_adrs,criterion_ids,rr_status,ddd_status,phase_f_status,phase_g_status,cto_risk_tier
ISSUE-0001,Epic delivery envelope,in-progress,EPIC-001,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0001-governanca-de-decisoes-arquiteturais-e-manutencao-da-baseline-normativ.md,ADR-001/ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-012/ADR-033/ADR-034/ADR-035/ADR-040/ADR-057,AC-ISSUE-0001-01/AC-ISSUE-0001-02/AC-ISSUE-0001-03/AC-ISSUE-0001-04/AC-ISSUE-0001-05/AC-ISSUE-0001-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0002,Epic delivery envelope,planned,EPIC-002,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0002-repositorio-privado-project-central-views-campos-labels-issue-forms-te.md,ADR-001/ADR-002/ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-012/ADR-013/ADR-015/ADR-016/ADR-017/ADR-018/ADR-020/ADR-022/ADR-025/ADR-033/ADR-034/ADR-035/ADR-037/ADR-038/ADR-039/ADR-040/ADR-041/ADR-042/ADR-043/ADR-044/ADR-045/ADR-050/ADR-053/ADR-055,AC-ISSUE-0002-01/AC-ISSUE-0002-02/AC-ISSUE-0002-03/AC-ISSUE-0002-04/AC-ISSUE-0002-05/AC-ISSUE-0002-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0003,Epic delivery envelope,planned,EPIC-003,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0003-monorepo-greenfield-com-cli-api-web-minimos-e-checks-reproduziveis.md,ADR-001/ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-014/ADR-033/ADR-034,AC-ISSUE-0003-01/AC-ISSUE-0003-02/AC-ISSUE-0003-03/AC-ISSUE-0003-04/AC-ISSUE-0003-05/AC-ISSUE-0003-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0004,Epic delivery envelope,planned,EPIC-004,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0004-openapi-cliente-typescript-e-contratos-cli-jobs-eventos-artefatos-proc.md,ADR-001/ADR-002/ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-013/ADR-014/ADR-015/ADR-017/ADR-019/ADR-021/ADR-023/ADR-033/ADR-034/ADR-035/ADR-040/ADR-041/ADR-044/ADR-045/ADR-046/ADR-053/ADR-055,AC-ISSUE-0004-01/AC-ISSUE-0004-02/AC-ISSUE-0004-03/AC-ISSUE-0004-04/AC-ISSUE-0004-05/AC-ISSUE-0004-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0005,Epic delivery envelope,planned,EPIC-005,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0005-migrations-ci-secret-dependency-scan-e-telemetria-minima.md,ADR-002/ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-012/ADR-014/ADR-015/ADR-018/ADR-023/ADR-024/ADR-026/ADR-030/ADR-033/ADR-034/ADR-035/ADR-037/ADR-038/ADR-039/ADR-040/ADR-044/ADR-045/ADR-046/ADR-051/ADR-052/ADR-053/ADR-054/ADR-055/ADR-057,AC-ISSUE-0005-01/AC-ISSUE-0005-02/AC-ISSUE-0005-03/AC-ISSUE-0005-04/AC-ISSUE-0005-05/AC-ISSUE-0005-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0006,Epic delivery envelope,planned,EPIC-006,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0006-catalogo-de-conhecimento-tecnico-e-decomposicao-das-capacidades-de-pro.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-033/ADR-034/ADR-051/ADR-053,AC-ISSUE-0006-01/AC-ISSUE-0006-02/AC-ISSUE-0006-03/AC-ISSUE-0006-04/AC-ISSUE-0006-05/AC-ISSUE-0006-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0007,Epic delivery envelope,planned,EPIC-007,SPRINT-001,BC-001,Governança de Engenharia e Entrega,Tech Lead,ISSUE-0007-license-citation-cff-contribuicao-dco-cla-e-gate-de-publicacao-definid.md,ADR-002/ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-010/ADR-011/ADR-033/ADR-034/ADR-037/ADR-056/ADR-057,AC-ISSUE-0007-01/AC-ISSUE-0007-02/AC-ISSUE-0007-03/AC-ISSUE-0007-04/AC-ISSUE-0007-05/AC-ISSUE-0007-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0008,Epic delivery envelope,planned,EPIC-008,SPRINT-002,BC-002,Identidade e Controle de Acesso,Backend,ISSUE-0008-contas-locais-bootstrap-unico-sessoes-tokens-e-adapter-oidc.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-028/ADR-029/ADR-030/ADR-031/ADR-032/ADR-034/ADR-043/ADR-055,AC-ISSUE-0008-01/AC-ISSUE-0008-02/AC-ISSUE-0008-03/AC-ISSUE-0008-04/AC-ISSUE-0008-05/AC-ISSUE-0008-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0009,Epic delivery envelope,planned,EPIC-009,SPRINT-002,BC-002,Identidade e Controle de Acesso,Backend,ISSUE-0009-usuarios-e-papeis-da-instancia.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-028/ADR-029/ADR-030/ADR-031/ADR-032/ADR-043/ADR-055,AC-ISSUE-0009-01/AC-ISSUE-0009-02/AC-ISSUE-0009-03/AC-ISSUE-0009-04/AC-ISSUE-0009-05/AC-ISSUE-0009-06,PASS,PASS,PASS,PASS,CRITICAL
ISSUE-0010,Epic delivery envelope,planned,EPIC-010,SPRINT-002,BC-002,Identidade e Controle de Acesso,Backend,ISSUE-0010-autorizacao-por-projeto-operacao-artefato-e-caminho.md,ADR-003/ADR-005/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-014/ADR-016/ADR-028/ADR-029/ADR-030/ADR-031/ADR-032/ADR-037/ADR-043/ADR-055,AC-ISSUE-0010-01/AC-ISSUE-0010-02/AC-ISSUE-0010-03/AC-ISSUE-0010-04/AC-ISSUE-0010-05/AC-ISSUE-0010-06,PASS,PASS,PASS,PASS,CRITICAL
