story_id,issue_id,task_id,epic_id,sprint,domain,bounded_context,bounded_context_name,type,status,role,title,dependencies,requirements,file,governing_adrs,requirement_basis,criterion_ids,rr_status,ddd_status,phase_f_status,phase_g_status,cto_risk_tier
STORY-0001,ISSUE-0111,TASK-0001,EPIC-001,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,done,Arquiteto,"Definir escopo, contratos e invariantes: governança de decisões arquiteturais e manutenção da baseline normativa",,REQ-ISM-004/REQ-ISS-002/REQ-SPRINT-001-004,STORY-0001-ISSUE-0111-definir-escopo-contratos-e-invariantes-governanca-de-decisoes-arquiteturai.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011/ADR-012,MIXED,AC-ISSUE-0111-01/AC-ISSUE-0111-02/AC-ISSUE-0111-03/AC-ISSUE-0111-04,PASS,PASS,PASS,PASS,HIGH
STORY-0002,ISSUE-0112,TASK-0002,EPIC-001,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,Consolidar slices e liberar integração: governança de decisões arquiteturais e manutenção da baseline normativa,STORY-0688/STORY-0689,,STORY-0002-ISSUE-0112-materializar-a-fundacao-executavel-governanca-de-decisoes-arquiteturais-e.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0112-01/AC-ISSUE-0112-02/AC-ISSUE-0112-03/AC-ISSUE-0112-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0003,ISSUE-0113,TASK-0003,EPIC-001,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,done,DevOps,Automatizar validações e controles: governança de decisões arquiteturais e manutenção da baseline normativa,STORY-0001,,STORY-0003-ISSUE-0113-automatizar-validacoes-e-controles-governanca-de-decisoes-arquiteturais-e.md,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,DERIVED_CONTROL,AC-ISSUE-0113-01/AC-ISSUE-0113-02/AC-ISSUE-0113-03/AC-ISSUE-0113-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0004,ISSUE-0114,TASK-0004,EPIC-001,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,Integrar a capacidade ao fluxo do repositório: governança de decisões arquiteturais e manutenção da baseline normativa,STORY-0002/STORY-0759,,STORY-0004-ISSUE-0114-integrar-a-capacidade-ao-fluxo-do-repositorio-governanca-de-decisoes-arqui.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0114-01/AC-ISSUE-0114-02/AC-ISSUE-0114-03/AC-ISSUE-0114-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0005,ISSUE-0115,TASK-0005,EPIC-001,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,Validar evidência e realizar auditoria final: governança de decisões arquiteturais e manutenção da baseline normativa,STORY-0004,,STORY-0005-ISSUE-0115-validar-evidencia-e-realizar-auditoria-final-governanca-de-decisoes-arquit.md,ADR-003/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0115-01/AC-ISSUE-0115-02/AC-ISSUE-0115-03/AC-ISSUE-0115-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0006,ISSUE-0116,TASK-0006,EPIC-002,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Arquiteto,"Consolidar slices e liberar integração: repositório privado, Project central/views/campos, labels, Issue Forms, templates, ruleset, checks e configuração reproduzível",STORY-0690/STORY-0691,,STORY-0006-ISSUE-0116-definir-escopo-contratos-e-invariantes-repositorio-privado-project-central.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0116-01/AC-ISSUE-0116-02/AC-ISSUE-0116-03/AC-ISSUE-0116-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0007,ISSUE-0117,TASK-0007,EPIC-002,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Consolidar slices e liberar integração: repositório privado, Project central/views/campos, labels, Issue Forms, templates, ruleset, checks e configuração reproduzível",STORY-0692/STORY-0693/STORY-0694/STORY-0695/STORY-0696/STORY-0697/STORY-0698/STORY-0699/STORY-0700,,STORY-0007-ISSUE-0117-materializar-a-fundacao-executavel-repositorio-privado-project-central-vie.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0117-01/AC-ISSUE-0117-02/AC-ISSUE-0117-03/AC-ISSUE-0117-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0008,ISSUE-0118,TASK-0008,EPIC-002,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,DevOps,"Automatizar validações e controles: repositório privado, Project central/views/campos, labels, Issue Forms, templates, ruleset, checks e configuração reproduzível",STORY-0006,,STORY-0008-ISSUE-0118-automatizar-validacoes-e-controles-repositorio-privado-project-central-vie.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,DERIVED_CONTROL,AC-ISSUE-0118-01/AC-ISSUE-0118-02/AC-ISSUE-0118-03/AC-ISSUE-0118-04,PASS,PASS,PASS,PASS,CRITICAL
STORY-0009,ISSUE-0119,TASK-0009,EPIC-002,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Tech Lead,"Integrar a capacidade ao fluxo do repositório: repositório privado, Project central/views/campos, labels, Issue Forms, templates, ruleset, checks e configuração reproduzível",STORY-0007/STORY-0008,REQ-CLASSICPROFILE-006/REQ-CLASSICPROFILE-008/REQ-CLASSICPROFILE-010/REQ-NATIVE-001/REQ-NATIVE-004,STORY-0009-ISSUE-0119-integrar-a-capacidade-ao-fluxo-do-repositorio-repositorio-privado-project.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008/ADR-042/ADR-044/ADR-045,MIXED,AC-ISSUE-0119-01/AC-ISSUE-0119-02/AC-ISSUE-0119-03/AC-ISSUE-0119-04,PASS,PASS,PASS,PASS,MEDIUM
STORY-0010,ISSUE-0120,TASK-0010,EPIC-002,SPRINT-001,FND,BC-001,Governança de Engenharia e Entrega,Story,planned,Reviewer,"Validar evidência e realizar auditoria final: repositório privado, Project central/views/campos, labels, Issue Forms, templates, ruleset, checks e configuração reproduzível",STORY-0009,,STORY-0010-ISSUE-0120-validar-evidencia-e-realizar-auditoria-final-repositorio-privado-project-c.md,ADR-003/ADR-004/ADR-005/ADR-006/ADR-007/ADR-008,DERIVED_CONTROL,AC-ISSUE-0120-01/AC-ISSUE-0120-02/AC-ISSUE-0120-03/AC-ISSUE-0120-04,PASS,PASS,PASS,PASS,MEDIUM
