epic_id,domain,bounded_context,bounded_context_name,title,sprint,owner_role,issue_id,dependencies,gate,file
EPIC-001,FND,BC-001,Governança de Engenharia e Entrega,governança de decisões arquiteturais e manutenção da baseline normativa,SPRINT-001,Tech Lead,ISSUE-0001,,G0,EPIC-001-governanca-de-decisoes-arquiteturais-e-manutencao-da-baseline-normativ.md
EPIC-002,FND,BC-001,Governança de Engenharia e Entrega,"repositório privado, Project central/views/campos, labels, Issue Forms, templates, ruleset, checks e configuração reproduzível",SPRINT-001,Tech Lead,ISSUE-0002,EPIC-001,G0/G1,EPIC-002-repositorio-privado-project-central-views-campos-labels-issue-forms-te.md
EPIC-003,FND,BC-001,Governança de Engenharia e Entrega,monorepo greenfield com CLI/API/Web mínimos e checks reproduzíveis,SPRINT-001,Tech Lead,ISSUE-0003,EPIC-001,G1,EPIC-003-monorepo-greenfield-com-cli-api-web-minimos-e-checks-reproduziveis.md
EPIC-004,FND,BC-001,Governança de Engenharia e Entrega,"OpenAPI, cliente TypeScript e contratos CLI/jobs/eventos/artefatos/ProcessingPlan/QualityReport/FailureDiagnostic versionados",SPRINT-001,Tech Lead,ISSUE-0004,EPIC-003,G1,EPIC-004-openapi-cliente-typescript-e-contratos-cli-jobs-eventos-artefatos-proc.md
EPIC-005,FND,BC-001,Governança de Engenharia e Entrega,"migrations, CI, secret/dependency scan e telemetria mínima",SPRINT-001,Tech Lead,ISSUE-0005,EPIC-003,G1/G5,EPIC-005-migrations-ci-secret-dependency-scan-e-telemetria-minima.md
EPIC-006,FND,BC-001,Governança de Engenharia e Entrega,catálogo de conhecimento técnico e decomposição das capacidades de processamento,SPRINT-001,Tech Lead,ISSUE-0006,EPIC-001,G0,EPIC-006-catalogo-de-conhecimento-tecnico-e-decomposicao-das-capacidades-de-pro.md
EPIC-007,FND,BC-001,Governança de Engenharia e Entrega,"LICENSE, CITATION.cff, contribuição, DCO/CLA e gate de publicação definidos",SPRINT-001,Tech Lead,ISSUE-0007,EPIC-001,G0/G6,EPIC-007-license-citation-cff-contribuicao-dco-cla-e-gate-de-publicacao-definid.md
EPIC-008,PLT,BC-002,Identidade e Controle de Acesso,"contas locais, bootstrap único, sessões, tokens e adapter OIDC",SPRINT-002,Backend,ISSUE-0008,EPIC-004,G2,EPIC-008-contas-locais-bootstrap-unico-sessoes-tokens-e-adapter-oidc.md
EPIC-009,PLT,BC-002,Identidade e Controle de Acesso,usuários e papéis da instância,SPRINT-002,Backend,ISSUE-0009,EPIC-005;EPIC-008,G2,EPIC-009-usuarios-e-papeis-da-instancia.md
EPIC-010,PLT,BC-002,Identidade e Controle de Acesso,"autorização por projeto, operação, artefato e caminho",SPRINT-002,Backend,ISSUE-0010,EPIC-009,G2,EPIC-010-autorizacao-por-projeto-operacao-artefato-e-caminho.md
EPIC-011,PLT,BC-002,Identidade e Controle de Acesso,"limites, idempotência, audit log e controles administrativos",SPRINT-002,Backend,ISSUE-0011,EPIC-010,G2,EPIC-011-limites-idempotencia-audit-log-e-controles-administrativos.md
EPIC-012,DAT,BC-003,"Projetos, Workspace e Assets","raízes de workspace, API de navegação segura, catálogo, hashes e lineage",SPRINT-002,Backend,ISSUE-0012,EPIC-005;EPIC-010,G3,EPIC-012-raizes-de-workspace-api-de-navegacao-segura-catalogo-hashes-e-lineage.md
EPIC-013,DAT,BC-013,"Artifacts, Proveniência e Lifecycle",backup/restore consistente entre banco e arquivos,SPRINT-002,Backend,ISSUE-0013,EPIC-012,G3/G7,EPIC-013-backup-restore-consistente-entre-banco-e-arquivos.md
EPIC-014,JOB,BC-010,Orquestração de Jobs e Recursos,modelo de job e máquina de estados no PostgreSQL,SPRINT-003,Backend,ISSUE-0014,EPIC-004;EPIC-005,G1,EPIC-014-modelo-de-job-e-maquina-de-estados-no-postgresql.md
EPIC-015,JOB,BC-010,Orquestração de Jobs e Recursos,runner direto e Celery/RabbitMQ sobre o mesmo núcleo,SPRINT-003,Backend,ISSUE-0015,EPIC-014,G1,EPIC-015-runner-direto-e-celery-rabbitmq-sobre-o-mesmo-nucleo.md
