requirement_id,type,category,priority,owner,linked_epics,evidence_or_test,status,file,owning_context,consumer_contexts
REQ-ACC-001,FUNCIONAL,ACC,P0,ADR-043,EPIC-009/EPIC-010,test_role_project_operation_access,PENDING,REQ-ACC-001-autorizacoes-sao-aplicadas-server-side-por-papel-projeto-operacao-e-recu.md,BC-002,BC-002
REQ-AI-001,FUNCIONAL,AI,P1,ADR-017,EPIC-050,test_req_ai_001,PENDING,REQ-AI-001-modelo-requer-manifesto-licenca-hash-benchmark-e-feature-flag.md,BC-009,BC-009
REQ-AI-005,FUNCIONAL,AI,P0,ADR-052,EPIC-026/EPIC-050,test_modelrunner_manifest_equivalence_device_precision,PENDING,REQ-AI-005-modelos-sao-executados-por-contrato-modelrunner-versionado-com-runner-di.md,BC-013,BC-013/BC-009
REQ-AI-006,FUNCIONAL,AI,P0,ADR-052,EPIC-080,test_modelpack_signature_license_hash_offline_import,PENDING,REQ-AI-006-pesos-opcionais-sao-instalados-somente-como-modelpacks-assinados-licenci.md,BC-015,BC-015
REQ-AI-007,FUNCIONAL,AI,P1,ADR-051,EPIC-006,test_reference_capability_inventory_no_code_import,PENDING,REQ-AI-007-requisito-verificavel-por-test-conhecimento-tecnico-de-referencia-seven.md,BC-001,BC-001
REQ-AI-008,FUNCIONAL,AI,P1,ADR-009,EPIC-029/EPIC-050,test_stage_capability_contract_preconditions_budget_reason,PENDING,REQ-AI-008-cada-capability-de-ia-possui-contrato-versionado-que-declara-estagio-pre-condicoes-orcamento.md,BC-004,BC-004/BC-009
REQ-AI-009,FUNCIONAL,AI,P1,ADR-052,EPIC-049/EPIC-050,test_inference_first_no_training_or_weight_mutation_in_jobs,PENDING,REQ-AI-009-jobs-operacionais-usam-somente-inferencia-com-modelpacks-pre-treinados-assinados-e-pinados-t.md,BC-013,BC-013/BC-009
REQ-AI-010,FUNCIONAL,AI,P1,ADR-009,EPIC-022/EPIC-029,test_retrieval_never_generates_gcp_homography_or_acceptance,PENDING,REQ-AI-010-a-capability-de-retrieval-pode-recuperar-ou-ranquear-candidatos-de-referencia-mas-nao-pode-g.md,BC-005,BC-005/BC-004
REQ-AI-011,FUNCIONAL,AI,P1,ADR-051,EPIC-029/EPIC-033,test_guided_ai_plan_no_raw_seven_mode_confusion,PENDING,REQ-AI-011-a-experiencia-de-ia-apresenta-plano-guiado-por-objetivo-e-recomendacao-explicavel-o-operador.md,BC-004,BC-004/BC-016
REQ-AI-012,FUNCIONAL,AI,P1,ADR-052,EPIC-028/EPIC-050,test_modelpack_stratified_promotion_and_reproducibility_gate,PENDING,REQ-AI-012-a-promocao-de-modelpack-exige-corpus-estratificado-benchmark-reproduzivel-verificacao-de-det.md,BC-007,BC-007/BC-009
REQ-AI-013,FUNCIONAL,AI,P1,ADR-009,EPIC-050,test_independent_ai_capability_lifecycle_and_promotion,PENDING,REQ-AI-013-cada-capability-de-ia-possui-lifecycle-versionamento-promocao-desativacao-e-rollback-indepen.md,BC-009,BC-009
REQ-AI-014,FUNCIONAL,AI,P1,ADR-009,EPIC-029,test_stage_precondition_budget_evidence_planner,PENDING,REQ-AI-014-o-planner-de-ia-avalia-pre-condicoes-de-estagio-budget-evidencia-disponivel-e-capability-pro.md,BC-004,BC-004
REQ-AI-015,FUNCIONAL,AI,P1,ADR-033,EPIC-050/EPIC-080,test_inference_only_runtime_no_training_or_weight_mutation,PENDING,REQ-AI-015-o-runtime-de-inferencia-monta-pesos-em-modo-somente-leitura-valida-assinatura-e-hash-antes-d.md,BC-009,BC-009/BC-015
REQ-AI-016,FUNCIONAL,AI,P1,ADR-009,EPIC-036/EPIC-084,test_guided_explainable_ai_ux_without_seven_modes,PENDING,REQ-AI-016-a-interface-explica-quando-a-ia-foi-usada-qual-capability-e-modelpack-foram-selecionados-o-m.md,BC-016,BC-016
REQ-AI-017,FUNCIONAL,AI,P1,ADR-009,EPIC-046/EPIC-050,test_experimental_capability_cannot_publish_accepted_artifactset,PENDING,REQ-AI-017-capabilities-experimentais-mesmo-quando-habilitadas-em-laboratorio-isolado-nao-podem-publica.md,BC-013,BC-013/BC-009
REQ-AIE-001,FUNCIONAL,AIE,P1,ADR-051,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_01,PENDING,REQ-AIE-001-classificar-falhas-classicas-por-taxonomia-tipada-e-determinar-elegibili.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
REQ-AIE-002,FUNCIONAL,AIE,P1,ADR-038,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,test_ai_escalation_decision_02,PENDING,REQ-AIE-002-iniciar-ia-somente-apos-baseline-classica-checkpoint-e-trigger-controlad.md,BC-001,BC-001/BC-010/BC-005/BC-007/BC-014/BC-009
