requirement_id,type,priority,owner,governing_adrs,linked_epics,evidence_or_test,conflict,redundancy,missing,impossible,status
REQ-ACC-001,FUNCIONAL,P0,ADR-028,ADR-051/ADR-028,EPIC-009/EPIC-010,test_role_project_operation_access,NONE,NONE,NO,NO,PASS
REQ-AI-001,FUNCIONAL,P1,PRODUCT_BASELINE,ADR-051/ADR-039/ADR-044/ADR-053,EPIC-050,test_req_ai_001,NONE,NONE,NO,NO,PASS
REQ-AI-005,FUNCIONAL,P0,ADR-051,ADR-051/ADR-018/ADR-039/ADR-044/ADR-027/ADR-041/ADR-053,EPIC-026/EPIC-050,test_modelrunner_manifest_equivalence_device_precision,NONE,NONE,NO,NO,PASS
REQ-AI-006,FUNCIONAL,P0,ADR-051,ADR-051/ADR-034/ADR-054,EPIC-080,test_modelpack_signature_license_hash_offline_import,NONE,NONE,NO,NO,PASS
REQ-AI-007,FUNCIONAL,P1,ADR-051,ADR-051,EPIC-006,test_reference_capability_inventory_no_code_import,NONE,NONE,NO,NO,PASS
REQ-AI-008,FUNCIONAL,P1,ADR-051,ADR-051/ADR-039/ADR-044/ADR-047/ADR-053,EPIC-029/EPIC-050,test_stage_capability_contract_preconditions_budget_reason,NONE,NONE,NO,NO,PASS
REQ-AI-009,FUNCIONAL,P1,ADR-051,ADR-051/ADR-018/ADR-036/ADR-039/ADR-044/ADR-047/ADR-048/ADR-027/ADR-050/ADR-053,EPIC-049/EPIC-050,test_inference_first_no_training_or_weight_mutation_in_jobs,NONE,NONE,NO,NO,PASS
REQ-AI-010,FUNCIONAL,P1,ADR-051,ADR-051/ADR-046/ADR-044/ADR-047/ADR-041,EPIC-022/EPIC-029,test_retrieval_never_generates_gcp_homography_or_acceptance,NONE,NONE,NO,NO,PASS
REQ-AI-011,FUNCIONAL,P1,ADR-051,ADR-051/ADR-044/ADR-047,EPIC-029/EPIC-033,test_guided_ai_plan_no_raw_seven_mode_confusion,NONE,NONE,NO,NO,PASS
REQ-AI-012,FUNCIONAL,P1,ADR-053,ADR-051/ADR-046/ADR-039/ADR-044/ADR-047/ADR-053,EPIC-028/EPIC-050,test_modelpack_stratified_promotion_and_reproducibility_gate,NONE,NONE,NO,NO,PASS
REQ-AI-013,FUNCIONAL,P1,ADR-051,ADR-051/ADR-039/ADR-044/ADR-053,EPIC-050,test_independent_ai_capability_lifecycle_and_promotion,NONE,NONE,NO,NO,PASS
