requirement_id,type,priority,owner,epics,stories,evidence_or_test,status
REQ-ACC-001,FUNCIONAL,P0,ADR-043,EPIC-009/EPIC-010,STORY-0716,test_role_project_operation_access,PENDING
REQ-AI-001,FUNCIONAL,P1,ADR-017,EPIC-050,STORY-0307,test_req_ai_001,PENDING
REQ-AI-005,FUNCIONAL,P0,ADR-052,EPIC-026/EPIC-050,STORY-0150/STORY-0302,test_modelrunner_manifest_equivalence_device_precision,PENDING
REQ-AI-006,FUNCIONAL,P0,ADR-052,EPIC-080,STORY-0500,test_modelpack_signature_license_hash_offline_import,PENDING
REQ-AI-007,FUNCIONAL,P1,ADR-051,EPIC-006,STORY-0027,test_reference_capability_inventory_no_code_import,PENDING
REQ-AI-008,FUNCIONAL,P1,ADR-009,EPIC-029/EPIC-050,STORY-0172/STORY-0750,test_stage_capability_contract_preconditions_budget_reason,PENDING
REQ-AI-009,FUNCIONAL,P1,ADR-052,EPIC-049/EPIC-050,STORY-0300/STORY-0750,test_inference_first_no_training_or_weight_mutation_in_jobs,PENDING
REQ-AI-010,FUNCIONAL,P1,ADR-009,EPIC-022/EPIC-029,STORY-0124/STORY-0173,test_retrieval_never_generates_gcp_homography_or_acceptance,PENDING
REQ-AI-011,FUNCIONAL,P1,ADR-051,EPIC-029/EPIC-033,STORY-0172/STORY-0197,test_guided_ai_plan_no_raw_seven_mode_confusion,PENDING
REQ-AI-012,FUNCIONAL,P1,ADR-052,EPIC-028/EPIC-050,STORY-0750,test_modelpack_stratified_promotion_and_reproducibility_gate,PENDING
REQ-AI-013,FUNCIONAL,P1,ADR-009,EPIC-050,STORY-0750,test_independent_ai_capability_lifecycle_and_promotion,PENDING
REQ-AI-014,FUNCIONAL,P1,ADR-009,EPIC-029,STORY-0172,test_stage_precondition_budget_evidence_planner,PENDING
REQ-AI-015,FUNCIONAL,P1,ADR-033,EPIC-050/EPIC-080,STORY-0750/STORY-0500,test_inference_only_runtime_no_training_or_weight_mutation,PENDING
REQ-AI-016,FUNCIONAL,P1,ADR-009,EPIC-036/EPIC-084,STORY-0216/STORY-0522,test_guided_explainable_ai_ux_without_seven_modes,PENDING
REQ-AI-017,FUNCIONAL,P1,ADR-009,EPIC-046/EPIC-050,STORY-0276/STORY-0750,test_experimental_capability_cannot_publish_accepted_artifactset,PENDING
REQ-AIE-001,FUNCIONAL,P1,ADR-051,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0747/STORY-0068/STORY-0122/STORY-0136/STORY-0164/STORY-0232/STORY-0302,test_ai_escalation_decision_01,PENDING
REQ-AIE-002,FUNCIONAL,P1,ADR-038,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0750,test_ai_escalation_decision_02,PENDING
REQ-AIE-003,FUNCIONAL,P1,ADR-009,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0747/STORY-0073/STORY-0127/STORY-0141/STORY-0169/STORY-0307,test_ai_escalation_decision_03,PENDING
REQ-AIE-004,FUNCIONAL,P1,ADR-051,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0750,test_ai_escalation_decision_04,PENDING
REQ-AIE-005,NAO_FUNCIONAL,P1,ADR-038,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0747/STORY-0068/STORY-0122/STORY-0136/STORY-0164/STORY-0232/STORY-0302,test_ai_escalation_decision_05,PENDING
REQ-AIE-006,NAO_FUNCIONAL,P1,ADR-051,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0750,test_ai_escalation_decision_06,PENDING
REQ-AIE-007,FUNCIONAL,P1,ADR-046,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0747/STORY-0073/STORY-0127/STORY-0141/STORY-0169/STORY-0307,test_ai_escalation_decision_07,PENDING
REQ-AIE-008,FUNCIONAL,P1,ADR-052,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0750,test_ai_escalation_decision_08,PENDING
REQ-AIE-009,FUNCIONAL,P1,ADR-030,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0751,test_ai_escalation_decision_09,PENDING
REQ-AIE-010,FUNCIONAL,P1,ADR-053,EPIC-005/EPIC-014/EPIC-022/EPIC-024/EPIC-028/EPIC-039/EPIC-041/EPIC-050,STORY-0751,test_ai_escalation_decision_10,PENDING
REQ-ANC-001,FUNCIONAL,P0,ADR-049,EPIC-058/EPIC-099,STORY-0360/STORY-0614,test_distributed_external_anchor_sources_provenance_uncertainty_and_coverage,PENDING
REQ-ANC-002,FUNCIONAL,P0,ADR-045,EPIC-024/EPIC-099,STORY-0138/STORY-0614,test_joint_anchored_per_image_homography_optimization_and_component_split,PENDING
REQ-ANC-003,FUNCIONAL,P0,ADR-049,EPIC-024/EPIC-099,STORY-0141/STORY-0617,test_component_bootstrap_independent_gcps_homography_and_sgv,PENDING
REQ-ANC-004,FUNCIONAL,P1,ADR-049,EPIC-046/EPIC-099,STORY-0276/STORY-0613,test_partial_anchor_states_subcomponents_and_immutable_artifacts,PENDING
REQ-ANC-005,FUNCIONAL,P1,ADR-049,EPIC-032/EPIC-100,STORY-0191/STORY-0621,test_multiview_anchor_workspace_source_pixel_provenance_and_refinement,PENDING
REQ-ANC-006,FUNCIONAL,P0,ADR-049,EPIC-024/EPIC-100,STORY-0729/STORY-0620,test_anchor_coverage_conditioning_diversity_marginal_gain_and_stop_rule,PENDING
REQ-ANC-007,FUNCIONAL,P0,ADR-055,EPIC-024/EPIC-100,STORY-0729/STORY-0620,test_anchor_uncertainty_robust_weighting_conflict_quarantine_and_split,PENDING
REQ-ANC-008,FUNCIONAL,P1,ADR-048,EPIC-066/EPIC-100,STORY-0411/STORY-0619,test_immutable_anchorset_impact_preview_scoped_reoptimization_and_history,PENDING
