sprint_id,issue_id,issue_type,story_id,criterion_id,criterion_text,basis_type,requirement_ids,adr_ids,conflict,redundancy,missing_requirement,impossible,cycle,status,notes
SPRINT-001,ISSUE-0111,STORY,STORY-0001,AC-ISSUE-0111-01,"O resultado de “governança de decisões arquiteturais e manutenção da baseline normativa” é observável por contrato, interface, artifact ou evidência executável.",DIRECT_REQUIREMENT,REQ-ISM-004/REQ-ISS-002/REQ-SPRINT-001-004,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0111,STORY,STORY-0001,AC-ISSUE-0111-02,"Os requisitos REQ-ISM-004, REQ-ISS-002, REQ-SPRINT-001-004 possuem evidência explícita no commit candidato.",DIRECT_REQUIREMENT,REQ-ISM-004/REQ-ISS-002/REQ-SPRINT-001-004,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0111,STORY,STORY-0001,AC-ISSUE-0111-03,"Estados de erro e caminhos fail-closed aplicáveis são testados, sem fallback silencioso.",ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0111,STORY,STORY-0001,AC-ISSUE-0111-04,"Schemas, estados, compatibilidade e autoridade de dados estão versionados e revisados pelo Arquiteto.",ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0112,STORY,STORY-0002,AC-ISSUE-0112-01,Todos os slices vinculados estão concluídos no mesmo baseline candidato.,ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0112,STORY,STORY-0002,AC-ISSUE-0112-02,Cobertura requisito→história permanece integral e sem duplicação normativa.,ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0112,STORY,STORY-0002,AC-ISSUE-0112-03,Contratos e outputs dos slices integram sem colisão ou implementação redundante.,ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0112,STORY,STORY-0002,AC-ISSUE-0112-04,Reviewer registra riscos residuais e libera dependentes.,ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008,NONE,NONE,NO,NO,NO,PASS,Critério revisado e rastreado na Fase B.
SPRINT-001,ISSUE-0113,STORY,STORY-0003,AC-ISSUE-0113-01,"O validator versionado avalia os contratos aplicáveis com saída determinística, read-only e diagnóstico acionável.",ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,NONE,NONE,NO,NO,NO,PASS,Critério DevOps preservado na decomposição aprovada pelo Owner.
SPRINT-001,ISSUE-0113,STORY,STORY-0003,AC-ISSUE-0113-02,"O workflow executa o validator e preserva status e diagnóstico suficientes para a validação QA no commit candidato.",ARCHITECTURAL_CONTROL,,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,NONE,NONE,NO,NO,NO,PASS,Critério DevOps preservado na decomposição aprovada pelo Owner.
