control_id,data_category,purpose,legal_basis_decision,technical_controls,retention,rights_or_process,owner_context
LGPD-001,Account identity and profile,"Authentication, authorization and accountability",Controller-documented basis required before collection,Minimize fields; encrypted transport; access controls,Account lifecycle plus documented legal retention,Access/correction/deletion workflow,BC-002
LGPD-002,"Password hash, sessions and PAT metadata",Security,Security necessity under controller governance,Argon2id; opaque tokens; secret redaction,Revoke/expire; hashes not exported,Revocation and account rights workflow,BC-002
LGPD-003,"Project metadata, filenames and relative locators",Project operation,Controller-documented basis required before use,No absolute host paths; project scope; least privilege,Project policy and deletion workflow,Export/correction/deletion where applicable,BC-003
LGPD-004,Raster/vector inputs and geolocation,Georeferencing purpose defined by operator,Controller evaluates personal-data content and basis,No training by default; no logs/previews beyond purpose; access control,Class-based retention; immutable audit of deletion,Export/delete subject to legal and technical constraints,BC-006
LGPD-005,Audit events,Security and accountability,Controller-documented basis; separate from analytics,Allowlist fields; pseudonymous identifiers where possible,365-day baseline unless policy/law changes,Restricted access and documented exceptions,BC-014
LGPD-006,"Operational logs, metrics and traces",Reliability and security,Legitimate operational purpose documented by controller,"No raster bytes, secrets, absolute paths or unlimited identifiers",Logs 30 days; traces 14 days; metrics 90 days,Not a source of business records,BC-014
LGPD-007,Support bundles,Support initiated by authorized operator,Explicit operator action,"Dry-run, allowlist, redaction, local generation",30 days maximum unless incident hold,Bundle inventory and deletion,BC-014
LGPD-008,Provider queries and acquired references,Reference discovery,Purpose and provider terms documented before egress,Allowlisted egress; query minimization; license record,Cache and lineage policy,Provider-specific disclosure when applicable,BC-005
LGPD-009,AI inputs and outputs,Optional recovery after classic failure,No training or external transmission by default,Offline ModelPacks; explicit capability; SGV independent,Artifact and audit class retention,Explainability and deletion inheritance,BC-009
LGPD-010,Incident and rights requests,Compliance operation,Legal obligation/process defined by controller,Identity verification; audit; least disclosure,Evidence retained per legal policy,Response within applicable legal period,BC-014
