sprint,bounded_context,epic_id,story_id,issue_id,task_id,role,governing_adrs,requirements,status
SPRINT-001,BC-001,EPIC-001,STORY-0001,ISSUE-0111,TASK-0001,Arquiteto,ADR-003/ADR-006/ADR-007/ADR-008/ADR-010/ADR-011,REQ-ISM-004/REQ-ISS-002/REQ-SPRINT-001-004,PASS
SPRINT-001,BC-001,EPIC-001,STORY-0002,ISSUE-0112,TASK-0002,Tech Lead,ADR-003/ADR-006/ADR-007/ADR-008,,PASS
SPRINT-001,BC-001,EPIC-001,STORY-0003,ISSUE-0113,TASK-0003,DevOps,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,,PASS
SPRINT-001,BC-001,EPIC-001,STORY-0004,ISSUE-0114,TASK-0004,Tech Lead,ADR-003/ADR-006/ADR-007/ADR-008,,PASS
SPRINT-001,BC-001,EPIC-001,STORY-0005,ISSUE-0115,TASK-0005,Reviewer,ADR-003/ADR-006/ADR-007/ADR-008,,PASS
SPRINT-001,BC-001,EPIC-002,STORY-0006,ISSUE-0116,TASK-0006,Arquiteto,ADR-003/ADR-006/ADR-007/ADR-008,,PASS
SPRINT-001,BC-001,EPIC-002,STORY-0007,ISSUE-0117,TASK-0007,Tech Lead,ADR-003/ADR-006/ADR-007/ADR-008,,PASS
SPRINT-001,BC-001,EPIC-002,STORY-0008,ISSUE-0118,TASK-0008,DevOps,ADR-003/ADR-006/ADR-007/ADR-008/ADR-009/ADR-033/ADR-034,,PASS
SPRINT-001,BC-001,EPIC-002,STORY-0009,ISSUE-0119,TASK-0009,Tech Lead,ADR-003/ADR-006/ADR-007/ADR-008/ADR-042/ADR-044/ADR-045,REQ-CLASSICPROFILE-006/REQ-CLASSICPROFILE-008/REQ-CLASSICPROFILE-010/REQ-NATIVE-001/REQ-NATIVE-004,PASS
SPRINT-001,BC-001,EPIC-002,STORY-0010,ISSUE-0120,TASK-0010,Reviewer,ADR-003/ADR-006/ADR-007/ADR-008,,PASS
