sprint_id,issue_id,issue_type,story_id,task_id,epic_id,role,bounded_context,dependencies_status,dependencies_count,dependencies,files_status,allow_paths,api_applicability,api_status,api_contracts,database_applicability,database_status,database_authorities,frontend_applicability,frontend_status,frontend_authorities,geo_applicability,geo_status,geo_authorities,ai_applicability,ai_status,ai_authorities,tests_status,tests,artifacts_applicability,artifacts_status,artifact_kinds,evidence,criteria_status,criteria_count,criterion_ids,review_status,required_reviewers,overall_status
SPRINT-001,ISSUE-0001,Epic delivery envelope,,,EPIC-001,Tech Lead,BC-001,PASS,0,,PASS,7 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,PASS,29 testes declarados,EVIDENCE_ONLY,PASS,,7 evidence scopes,PASS,28,AC-ISSUE-0001-01/AC-ISSUE-0001-02/AC-ISSUE-0001-03/AC-ISSUE-0001-04/AC-ISSUE-0001-05/AC-ISSUE-0001-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0002,Epic delivery envelope,,,EPIC-002,Tech Lead,BC-001,PASS,1,,PASS,16 TaskEnvelopes filhos,NOT_APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,APPLICABLE,PASS,,PASS,104 testes declarados,PRODUCT_AND_EVIDENCE,PASS,,16 evidence scopes,PASS,64,AC-ISSUE-0002-01/AC-ISSUE-0002-02/AC-ISSUE-0002-03/AC-ISSUE-0002-04/AC-ISSUE-0002-05/AC-ISSUE-0002-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0003,Epic delivery envelope,,,EPIC-003,Tech Lead,BC-001,PASS,1,,PASS,5 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,PASS,9 testes declarados,EVIDENCE_ONLY,PASS,,5 evidence scopes,PASS,20,AC-ISSUE-0003-01/AC-ISSUE-0003-02/AC-ISSUE-0003-03/AC-ISSUE-0003-04/AC-ISSUE-0003-05/AC-ISSUE-0003-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0004,Epic delivery envelope,,,EPIC-004,Tech Lead,BC-001,PASS,1,,PASS,10 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,APPLICABLE,PASS,,PASS,46 testes declarados,PRODUCT_AND_EVIDENCE,PASS,,10 evidence scopes,PASS,40,AC-ISSUE-0004-01/AC-ISSUE-0004-02/AC-ISSUE-0004-03/AC-ISSUE-0004-04/AC-ISSUE-0004-05/AC-ISSUE-0004-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0005,Epic delivery envelope,,,EPIC-005,Tech Lead,BC-001,PASS,1,,PASS,11 TaskEnvelopes filhos,NOT_APPLICABLE,PASS,0,APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,APPLICABLE,PASS,,PASS,60 testes declarados,PRODUCT_AND_EVIDENCE,PASS,,11 evidence scopes,PASS,44,AC-ISSUE-0005-01/AC-ISSUE-0005-02/AC-ISSUE-0005-03/AC-ISSUE-0005-04/AC-ISSUE-0005-05/AC-ISSUE-0005-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0006,Epic delivery envelope,,,EPIC-006,Tech Lead,BC-001,PASS,1,,PASS,5 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,APPLICABLE,PASS,,PASS,8 testes declarados,EVIDENCE_ONLY,PASS,,5 evidence scopes,PASS,20,AC-ISSUE-0006-01/AC-ISSUE-0006-02/AC-ISSUE-0006-03/AC-ISSUE-0006-04/AC-ISSUE-0006-05/AC-ISSUE-0006-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0007,Epic delivery envelope,,,EPIC-007,Tech Lead,BC-001,PASS,1,,PASS,5 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,PASS,10 testes declarados,EVIDENCE_ONLY,PASS,,5 evidence scopes,PASS,20,AC-ISSUE-0007-01/AC-ISSUE-0007-02/AC-ISSUE-0007-03/AC-ISSUE-0007-04/AC-ISSUE-0007-05/AC-ISSUE-0007-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0086,Epic delivery envelope,,,EPIC-086,Tech Lead,BC-001,PASS,1,,PASS,7 TaskEnvelopes filhos,APPLICABLE,PASS,0,APPLICABLE,PASS,,APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,PASS,20 testes declarados,PRODUCT_AND_EVIDENCE,PASS,,7 evidence scopes,PASS,28,AC-ISSUE-0086-01/AC-ISSUE-0086-02/AC-ISSUE-0086-03/AC-ISSUE-0086-04/AC-ISSUE-0086-05/AC-ISSUE-0086-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0090,Epic delivery envelope,,,EPIC-090,Tech Lead,BC-001,PASS,1,,PASS,5 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,PASS,7 testes declarados,EVIDENCE_ONLY,PASS,,5 evidence scopes,PASS,20,AC-ISSUE-0090-01/AC-ISSUE-0090-02/AC-ISSUE-0090-03/AC-ISSUE-0090-04/AC-ISSUE-0090-05/AC-ISSUE-0090-06,PASS,Arquiteto/QA/Reviewer,PASS
SPRINT-001,ISSUE-0091,Epic delivery envelope,,,EPIC-091,Tech Lead,BC-001,PASS,1,,PASS,5 TaskEnvelopes filhos,APPLICABLE,PASS,0,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,NOT_APPLICABLE,PASS,,PASS,10 testes declarados,EVIDENCE_ONLY,PASS,,5 evidence scopes,PASS,20,AC-ISSUE-0091-01/AC-ISSUE-0091-02/AC-ISSUE-0091-03/AC-ISSUE-0091-04/AC-ISSUE-0091-05/AC-ISSUE-0091-06,PASS,Arquiteto/QA/Reviewer,PASS
